dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1789999310,1,-123.133468,49.190762,0.000000,17.175255,-1.000000,0.000000,1,0,9.544263
1790000071,1,-123.132781,49.190658,0.000000,34.169668,1.498144,51.387163,1,0,1.532257
1790000079,1,-123.133444,49.190566,0.000000,12.306681,0.629842,49.397810,1,0,4.553665
1790000339,1,-123.133698,49.190001,0.000000,4.748652,4.710706,65.570227,1,0,4.788430
1790000359,1,-123.134862,49.189922,0.000000,2.059117,2.272455,85.298379,1,0,4.365700
1790000388,1,-123.132976,49.190614,0.000000,2.342100,8.742961,157.530830,1,0,5.456178
1790000396,1,-123.132706,49.190845,0.000000,2.115603,0.183185,32.374018,1,0,5.369555
1790000421,1,-123.131741,49.191018,0.000000,5.095057,10.772538,72.922679,1,0,5.078976
1790000428,1,-123.131123,49.191073,0.000000,2.000436,2.236619,45.444742,1,0,4.511054
1790000467,1,-123.130109,49.191182,0.000000,2.000006,8.053578,74.930220,1,0,5.605088
1790000475,1,-123.129676,49.191704,0.000000,2.000000,7.047257,66.080948,1,0,4.861437
1790000487,1,-123.130777,49.191987,0.000000,2.054787,15.044069,86.175150,1,0,5.110821
1790000492,1,-123.132032,49.192002,0.000000,2.087816,19.109959,91.497465,1,0,5.193004
1790000496,1,-123.133309,49.192073,0.000000,2.000524,17.948197,93.464734,1,0,5.166065
1790000502,1,-123.134703,49.192214,0.000000,2.000002,16.821805,102.808832,1,0,11.108760
1790000508,1,-123.136119,49.192366,0.000000,2.385409,17.673197,104.553260,1,0,16.931394
1790000514,1,-123.137584,49.192524,0.000000,2.020981,18.192207,108.253297,1,0,17.442618
1790000520,1,-123.138927,49.192671,0.000000,2.010083,13.291262,99.237377,1,0,13.314538
1790000527,1,-123.140311,49.192696,0.000000,2.003053,13.336340,100.891419,1,0,8.735228
1790000535,1,-123.141622,49.192670,0.000000,2.000018,14.366471,95.629939,1,0,12.031971
1790000540,1,-123.142685,49.192670,0.000000,2.000000,15.537333,77.507296,1,0,12.187014
1790000547,1,-123.144076,49.192861,0.000000,2.102952,14.733264,103.525302,1,0,8.881549
