dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1789912913,1,-119.454377,49.883855,0.000000,10.367560,-1.000000,0.000000,1,0,365.502675
1789922703,1,-119.454222,49.884701,0.000000,88.937346,0.000000,94.761178,1,0,472.104855
1789928133,1,-119.453037,49.883606,0.000000,49.841937,-1.000000,100.212806,1,0,362.240595
1789928216,1,-119.452201,49.883873,0.000000,22.150732,10.466923,67.024707,1,0,363.296834
1789928229,1,-119.450491,49.883021,0.000000,36.777841,-1.000000,155.197982,1,0,363.254644
1789928241,1,-119.447893,49.882974,0.000000,26.438478,-1.000000,186.798215,1,0,365.555607
1789928254,1,-119.445749,49.882945,0.000000,45.865956,-1.000000,154.127998,1,0,310.245146
1789928267,1,-119.442868,49.882737,0.000000,49.362068,-1.000000,208.352714,1,0,366.304503
1789928280,1,-119.440561,49.883338,0.000000,50.909545,-1.000000,178.779742,1,0,387.974354
1789928295,1,-119.437568,49.882911,0.000000,46.058997,-1.000000,220.296404,1,0,372.046392
1789928309,1,-119.437658,49.882420,0.000000,5.821390,5.074113,54.997284,1,0,372.100261
1789928372,1,-119.437167,49.881976,0.000000,22.813266,-1.000000,60.699943,1,0,372.780679
1789928418,1,-119.434668,49.881276,0.000000,63.761766,-1.000000,195.761117,1,0,373.512014
1789928433,1,-119.431451,49.883125,0.000000,39.537612,-1.000000,309.451930,1,0,374.180855
1789928445,1,-119.429518,49.884023,0.000000,32.518170,-1.000000,171.111326,1,0,380.004179
1789928458,1,-119.428236,49.884304,0.000000,51.803520,-1.000000,97.298117,1,0,380.635500
1789928471,1,-119.427627,49.885008,0.000000,39.170992,-1.000000,89.710971,1,0,380.469863
1789928497,1,-119.425811,49.886323,0.000000,44.603164,-1.000000,196.038800,1,0,377.722897
1789928517,1,-119.425025,49.886792,0.000000,44.342755,-1.000000,76.895323,1,0,373.751600
1789928530,1,-119.422290,49.888013,0.000000,54.683581,-1.000000,238.927862,1,0,380.173000
1789928538,1,-119.422390,49.887555,0.000000,4.979893,4.661987,51.449418,1,0,381.206777
1789928556,1,-119.421557,49.887399,0.000000,22.238220,-1.000000,62.334006,1,0,380.838849
1789928607,1,-119.421141,49.887564,0.000000,26.597310,0.188226,35.082859,1,0,381.233399
1789931475,1,-119.421727,49.887786,0.000000,2.286078,3.701340,48.822806,1,0,382.820781
1789931526,1,-119.421322,49.887528,0.000000,2.057944,1.909240,40.876559,1,0,381.198550
