dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1789567353,1,-115.350693,51.091178,0.000000,2.178531,-1.000000,0.000000,1,0,1311.298135
1789575205,1,-115.349950,51.091017,0.000000,22.248304,1.177984,55.061621,1,0,1309.737988
1789575314,1,-115.350718,51.090694,0.000000,21.440472,-1.000000,64.715514,1,0,1312.254053
1789575386,1,-115.351134,51.091468,0.000000,14.000000,1.005240,90.924951,1,0,1310.651888
1789575425,1,-115.352062,51.091971,0.000000,23.371328,-1.000000,85.799273,1,0,1310.338294
1789575507,1,-115.352617,51.092396,0.000000,27.614066,-1.000000,61.229014,1,0,1308.169459
1789575544,1,-115.353173,51.092794,0.000000,19.583282,1.305378,58.985821,1,0,1332.382806
1789575599,1,-115.353536,51.092391,0.000000,6.482750,1.640792,51.555327,1,0,1306.936145
1789575685,1,-115.354233,51.091757,0.000000,33.924670,1.004083,85.804522,1,0,1287.750856
1789575692,1,-115.354151,51.092092,0.000000,7.809137,1.240371,37.716631,1,0,1309.937125
1789575732,1,-115.354684,51.091654,0.000000,13.193483,-1.000000,61.403298,1,0,1309.936317
1789575780,1,-115.355069,51.091482,0.000000,8.495014,0.215784,33.078071,1,0,1316.187748
1789575826,1,-115.355812,51.091143,0.000000,22.078936,-1.000000,64.294268,1,0,1310.250044
1789575872,1,-115.356148,51.090995,0.000000,14.000000,0.250065,28.732987,1,0,1317.113702
1789575923,1,-115.356403,51.090796,0.000000,19.704032,0.057094,28.454037,1,0,1311.248595
1789575996,1,-115.356973,51.090566,0.000000,9.287812,0.089317,47.438507,1,0,1311.296653
1789576061,1,-115.357518,51.090518,0.000000,42.705956,1.341679,38.562222,1,0,1206.917235
1789576099,1,-115.358359,51.090406,0.000000,22.584263,-1.000000,60.230645,1,0,200.241255
1789576208,1,-115.359450,51.090504,0.000000,23.345604,-1.000000,77.212162,1,0,200.227641
1789576239,1,-115.359796,51.090115,0.000000,20.821784,1.334734,49.607311,1,0,905.153579
1789576248,1,-115.360105,51.090377,0.000000,10.265429,0.936650,36.313943,1,0,1312.018831
1789576281,1,-115.361023,51.090398,0.000000,16.889487,-1.000000,64.371259,1,0,1311.408200
1789576360,1,-115.361940,51.090381,0.000000,20.978679,-1.000000,64.286591,1,0,1311.409977
1789576451,1,-115.362832,51.090464,0.000000,23.745844,-1.000000,63.185500,1,0,1311.567633
1789576542,1,-115.363151,51.089947,0.000000,19.874547,-1.000000,61.718535,1,0,1309.123055
1789576683,1,-115.363208,51.089611,0.000000,3.593348,1.145205,37.600448,1,0,1312.455293
1789576719,1,-115.363449,51.089296,0.000000,2.306093,1.456387,38.907292,1,0,1312.026449
1789576749,1,-115.363951,51.089260,0.000000,2.417026,0.756556,35.404986,1,0,1311.381910
1789576795,1,-115.364465,51.089256,0.000000,2.314054,1.036203,36.021291,1,0,1312.313523
1789576833,1,-115.365412,51.089211,0.000000,26.194698,-1.000000,66.549657,1,0,1312.284714
1789576906,1,-115.365932,51.089207,0.000000,2.114265,1.199024,36.441718,1,0,1314.521294
1789576938,1,-115.366421,51.089369,0.000000,2.032847,1.416798,38.718857,1,0,1314.056013
1789577129,1,-115.367991,51.090022,0.000000,10.905224,1.200484,131.846753,1,0,1315.337265
1789577175,1,-115.367609,51.090598,0.000000,37.132989,-1.000000,69.458636,1,0,1313.685266
1789577198,1,-115.367689,51.091166,0.000000,45.602146,-1.000000,63.451174,1,0,1315.393919
1789577242,1,-115.368396,51.091444,0.000000,36.697546,1.878158,58.407344,1,0,1314.741885
1789577245,1,-115.368695,51.091210,0.000000,19.996515,0.812665,33.421185,1,0,1317.624563
1789577302,1,-115.369533,51.091512,0.000000,25.995014,0.980870,67.658225,1,0,1315.865837
1789577371,1,-115.369477,51.091758,0.000000,5.157859,0.119106,27.653011,1,0,1316.952984
1789577406,1,-115.369500,51.091978,0.000000,41.208298,1.594664,24.533046,1,0,1310.215754
1789577441,1,-115.369308,51.091618,0.000000,12.660303,0.435017,42.257368,1,0,1317.528429
1789577656,1,-115.371043,51.091340,0.000000,15.187862,0.354868,125.453744,1,0,1313.627887
