dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1789826489,1,-116.182480,51.428731,0.000000,2.000000,-1.000000,0.000000,1,0,1544.356660
1789828087,1,-116.183003,51.428651,0.000000,4.748652,1.387210,37.456205,1,0,1542.547456
1789828268,1,-116.182241,51.428517,0.000000,18.081512,2.204170,55.066509,1,0,1541.534932
1789828417,1,-116.183034,51.428864,0.000000,25.492677,-1.000000,67.337813,1,0,1544.492948
1789828857,1,-116.181726,51.428742,0.000000,22.274517,-1.000000,91.999134,1,0,1544.501855
1789829211,1,-116.181553,51.428549,0.000000,5.944970,0.098738,24.619695,1,0,1544.091219
1789830173,1,-116.181697,51.428151,0.000000,4.748652,3.033295,45.409504,1,0,1539.602134
1789830201,1,-116.181165,51.427810,0.000000,4.748651,4.939270,53.006427,1,0,1542.910081
1789830210,1,-116.180307,51.427532,0.000000,4.748650,8.863648,67.228406,1,0,1542.850925
1789830217,1,-116.179533,51.427176,0.000000,4.748651,9.453542,66.847966,1,0,1541.430428
1789830225,1,-116.178705,51.426718,0.000000,4.748651,9.193329,76.912362,1,0,1540.771399
1789830234,1,-116.177996,51.426199,0.000000,4.748650,7.896041,75.950137,1,0,1540.420156
1789830242,1,-116.177524,51.425689,0.000000,4.748651,7.865147,65.568349,1,0,1539.146307
1789830254,1,-116.177785,51.425194,0.000000,4.748652,6.669530,58.000414,1,0,1540.001722
1789830262,1,-116.178458,51.424745,0.000000,4.748652,9.703633,68.472717,1,0,1537.189246
1789830270,1,-116.178899,51.424145,0.000000,4.748651,10.221616,73.480552,1,0,1532.818183
1789830277,1,-116.179141,51.423633,0.000000,4.748651,6.335584,59.412512,1,0,1533.480230
1789830290,1,-116.179772,51.423332,0.000000,4.748651,5.045727,55.219978,1,0,1533.497922
1789830302,1,-116.180412,51.423017,0.000000,4.748652,5.053657,56.669359,1,0,1537.681796
1789830316,1,-116.181336,51.422968,0.000000,4.748652,7.100444,64.516164,1,0,1537.031192
1789830323,1,-116.182368,51.422715,0.000000,4.748652,10.872314,77.122031,1,0,1538.438742
1789830329,1,-116.183075,51.422233,0.000000,4.748651,12.895443,72.777433,1,0,1542.626399
1789830335,1,-116.183382,51.421569,0.000000,4.748651,12.908105,76.917160,1,0,1545.850354
1789830342,1,-116.183266,51.420758,0.000000,4.748652,12.989499,90.610986,1,0,1553.896638
1789830349,1,-116.183195,51.419947,0.000000,4.748652,12.940030,180.970097,1,0,1561.500377
1789830356,1,-116.183851,51.419264,0.000000,4.748652,13.151090,88.656838,1,0,1567.195287
1789830362,1,-116.184805,51.418866,0.000000,4.748652,13.356261,79.799533,1,0,1572.387177
1789830369,1,-116.185480,51.418167,0.000000,4.748651,13.031913,90.866750,1,0,1580.407122
1789830375,1,-116.185326,51.417479,0.000000,4.748651,12.956003,77.309555,1,0,1588.366456
1789830382,1,-116.185187,51.416684,0.000000,4.748652,13.010495,88.997947,1,0,1597.976292
1789830388,1,-116.185606,51.416048,0.000000,4.748652,12.925225,76.546266,1,0,1605.453957
1789830396,1,-116.185844,51.415227,0.000000,4.748652,13.759126,92.853163,1,0,1613.485844
1789830403,1,-116.185776,51.414350,0.000000,4.748651,14.319625,97.711130,1,0,1618.977412
1789830409,1,-116.185845,51.413589,0.000000,4.748651,14.376043,182.283952,1,0,1624.380491
1789830416,1,-116.186769,51.412942,0.000000,4.748652,13.999678,96.532869,1,0,1632.129048
1789830422,1,-116.187928,51.412804,0.000000,4.748652,13.551663,82.101951,1,0,1639.547190
1789830428,1,-116.189091,51.412816,0.000000,4.748652,13.208745,80.942326,1,0,1647.279313
1789830446,1,-116.190548,51.412575,0.000000,38.898259,-1.000000,104.877703,1,0,1666.254196
1789831311,1,-116.171345,51.350791,0.000000,64.363890,4.606581,7004.575586,1,0,1896.588310
1789831326,1,-116.171548,51.350423,0.000000,4.748652,2.377617,43.328559,1,0,1912.493609
1789831638,1,-116.181743,51.328569,0.000000,35.814762,0.000000,2533.779717,1,0,1871.920594
1789831710,1,-116.181836,51.327993,0.000000,13.052101,0.000000,64.427774,1,0,1717.547470
1789831742,1,-116.181547,51.327868,0.000000,16.695014,0.033742,24.484717,1,0,1859.660322
1789831801,1,-116.181957,51.327640,0.000000,5.610334,1.051829,38.222495,1,0,1861.084225
1789831862,1,-116.181809,51.327427,0.000000,2.110862,0.050062,25.852719,1,0,1858.854991
1789832004,1,-116.182439,51.327026,0.000000,30.995014,0.728229,62.616683,1,0,1858.126544
1789832195,1,-116.182768,51.327071,0.000000,4.458820,0.057051,23.478652,1,0,1858.624875
1789832332,1,-116.182799,51.326419,0.000000,64.359265,1.497733,72.591734,1,0,1934.030432
1789832336,1,-116.183419,51.326574,0.000000,12.378644,0.325717,46.542110,1,0,1857.153777
1789832392,1,-116.183669,51.326305,0.000000,2.593624,0.825037,34.640928,1,0,1861.910699
1789832495,1,-116.183431,51.326625,0.000000,2.694262,0.759558,39.288114,1,0,1863.481144
1789832527,1,-116.183194,51.326918,0.000000,3.378478,0.856035,36.554972,1,0,1862.642589
1789832557,1,-116.182827,51.327170,0.000000,2.936149,1.349813,37.963396,1,0,1862.126470
1789832796,1,-116.181388,51.328173,0.000000,90.297436,0.000000,150.084020,1,0,1872.657887
1789832820,1,-116.181250,51.328403,0.000000,4.748652,0.055516,27.344683,1,0,1858.782451
1789832852,1,-116.180742,51.328485,0.000000,3.483571,0.959905,36.575192,1,0,1859.095306
1789832889,1,-116.180265,51.328346,0.000000,2.364705,0.889826,36.678631,1,0,1854.480379
1789832928,1,-116.179912,51.328215,0.000000,2.390903,0.136860,28.605402,1,0,1858.894245
1789832961,1,-116.179564,51.328253,0.000000,2.240786,0.048309,24.628844,1,0,1862.332755
1789833033,1,-116.179326,51.328033,0.000000,2.130987,0.317326,29.576626,1,0,1868.282780
1789833098,1,-116.179152,51.327809,0.000000,2.164105,0.249434,27.723571,1,0,1873.246026
1789833157,1,-116.179184,51.327498,0.000000,2.404351,0.936045,34.682182,1,0,1876.991169
1789833233,1,-116.179347,51.327248,0.000000,2.216641,0.473687,30.053426,1,0,1873.928756
1789833684,1,-116.179886,51.327441,0.000000,12.733911,0.212141,43.284791,1,0,1866.190673
1789833815,1,-116.180104,51.327612,0.000000,4.748652,0.047674,24.354977,1,0,1886.187256
1789834023,1,-116.180508,51.327805,0.000000,5.154979,0.590252,35.422253,1,0,1877.335547
1789834952,1,-116.179441,51.328139,0.000000,5.051662,0.558897,83.161963,1,0,1868.066939
1789835077,1,-116.180531,51.328389,0.000000,77.030982,1.278670,80.929039,1,0,1862.061025
1789835128,1,-116.180980,51.328429,0.000000,3.884143,0.532633,31.619843,1,0,1859.353319
1789835171,1,-116.181324,51.328226,0.000000,2.826871,0.745443,32.948536,1,0,1860.781238
1789835209,1,-116.181690,51.328026,0.000000,2.583508,0.870211,33.860942,1,0,1862.559772
1789835249,1,-116.182133,51.328022,0.000000,3.219403,0.534856,30.889828,1,0,1866.156846
1789835834,1,-116.181726,51.328133,0.000000,3.234798,0.572939,30.948785,1,0,1861.676422
1789835883,1,-116.181287,51.328305,0.000000,2.691160,0.964959,36.100197,1,0,1859.006754
1789835914,1,-116.181289,51.328518,0.000000,2.756020,0.043071,23.704542,1,0,1859.434488
1789837210,1,-116.182449,51.327308,0.000000,77.494254,0.000000,157.078550,1,0,1864.576536
1789837337,1,-116.182864,51.326655,0.000000,51.211327,2.438904,78.218943,1,0,1869.215794
1789837349,1,-116.183215,51.326708,0.000000,4.724120,0.074152,25.172989,1,0,1856.836724
1789837453,1,-116.183672,51.326494,0.000000,19.953360,0.273035,39.779472,1,0,1864.945500
1789837531,1,-116.183576,51.325945,0.000000,23.609578,0.000000,61.462088,1,0,1850.499229
1789837703,1,-116.183469,51.325632,0.000000,3.744531,0.999536,35.622736,1,0,1861.087340
1789838054,1,-116.184321,51.324331,0.000000,34.943743,0.000000,156.496787,1,0,1869.638386
1789838197,1,-116.184627,51.323943,0.000000,5.873939,0.636049,48.162577,1,0,1862.273913
1789838402,1,-116.185285,51.323670,0.000000,24.342553,1.864969,55.024543,1,0,1859.755847
1789838497,1,-116.186266,51.323193,0.000000,17.636512,0.000000,86.585184,1,0,1857.639447
1789838572,1,-116.186458,51.322911,0.000000,3.157916,0.671578,34.119258,1,0,1861.633761
1789838603,1,-116.186579,51.322625,0.000000,2.527214,0.603842,32.927371,1,0,1859.488955
1789839111,1,-116.185698,51.323414,0.000000,80.246104,1.390893,107.161588,1,0,1884.929029
1789839149,1,-116.185403,51.323670,0.000000,11.570262,0.943208,35.139432,1,0,1866.330668
1789839179,1,-116.185085,51.323787,0.000000,4.748652,0.046106,25.714040,1,0,1863.819562
1789839360,1,-116.184037,51.324740,0.000000,10.146949,0.000000,128.794681,1,0,1868.321870
1789839394,1,-116.183921,51.325046,0.000000,4.183106,0.622904,35.001265,1,0,1866.254931
1789839422,1,-116.183706,51.325332,0.000000,4.339395,0.912587,35.182075,1,0,1864.642096
1789839454,1,-116.183657,51.325636,0.000000,4.191312,0.835710,34.003345,1,0,1865.013918
1789839488,1,-116.183722,51.325960,0.000000,3.801934,1.072967,36.340736,1,0,1864.941482
1789839521,1,-116.183676,51.326284,0.000000,3.341226,1.129600,105.965885,1,0,1865.217828
1789839556,1,-116.183475,51.326592,0.000000,3.581828,1.160233,37.031150,1,0,1865.880219
1789839589,1,-116.183241,51.326858,0.000000,3.400926,0.790221,33.801316,1,0,1865.437620
1789839625,1,-116.182939,51.327132,0.000000,3.779253,0.828339,37.057323,1,0,1863.923419
1789839657,1,-116.182582,51.327349,0.000000,3.597025,0.950881,34.682257,1,0,1864.471472
1789839693,1,-116.182175,51.327543,0.000000,3.277391,0.883300,35.658352,1,0,1863.621084
1789839726,1,-116.181846,51.327778,0.000000,3.657529,0.896037,34.788358,1,0,1862.889936
1789839810,1,-116.181558,51.327863,0.000000,3.550535,0.009322,22.198261,1,0,1861.092473
1789840194,1,-116.181163,51.328961,0.000000,17.433323,0.000000,125.258064,1,0,1847.174397
1789840437,1,-116.181000,51.329614,0.000000,35.504135,0.000000,73.553568,1,0,1853.215691
1789841012,1,-116.171458,51.350102,0.000000,90.728586,1.019635,2375.091757,1,0,1914.300750
1789841490,1,-116.168698,51.389600,0.000000,121.518677,10.197621,4399.839309,1,0,1779.078164
1789841498,1,-116.168298,51.390421,0.000000,11.052287,13.146263,95.516875,1,0,1765.136783
1789841504,1,-116.168578,51.391170,0.000000,4.744396,13.460516,85.603084,1,0,1754.582011
1789841510,1,-116.169014,51.391887,0.000000,5.329933,14.136073,85.371941,1,0,1748.900367
1789841515,1,-116.169405,51.392633,0.000000,4.748652,13.724034,87.369220,1,0,1739.891919
1789841521,1,-116.169918,51.393218,0.000000,4.748651,12.261776,74.257072,1,0,1729.571048
1789841527,1,-116.170691,51.393592,0.000000,4.748651,10.693108,68.036904,1,0,1726.824134
1789841535,1,-116.171587,51.393783,0.000000,4.748651,6.664874,65.906847,1,0,1724.182512
1789841545,1,-116.172200,51.394094,0.000000,4.748651,5.434735,54.950017,1,0,1719.724935
1789841560,1,-116.171367,51.394415,0.000000,4.748651,9.867758,68.117250,1,0,1719.448180
1789841568,1,-116.170363,51.394583,0.000000,4.748651,8.640611,72.361689,1,0,1715.536134
1789841575,1,-116.170565,51.395281,0.000000,4.748651,13.150847,78.940202,1,0,1714.439161
1789841581,1,-116.171287,51.395941,0.000000,4.748650,15.414535,89.001369,1,0,1718.015215
1789841586,1,-116.172043,51.396516,0.000000,4.748650,16.253078,82.853730,1,0,1716.790939
1789841591,1,-116.172792,51.397092,0.000000,4.748649,16.236918,82.631293,1,0,1714.401101
1789841597,1,-116.173820,51.397704,0.000000,4.748650,16.417687,98.795420,1,0,1714.691629
1789841603,1,-116.174984,51.398184,0.000000,4.748650,16.065059,97.058029,1,0,1714.371195
1789841609,1,-116.175709,51.398916,0.000000,4.748650,16.376010,95.830601,1,0,1713.863972
1789841615,1,-116.176299,51.399699,0.000000,4.748650,15.785889,96.332565,1,0,1708.783760
1789841623,1,-116.176420,51.400564,0.000000,4.748650,13.348594,96.629981,1,0,1709.870386
1789841629,1,-116.176771,51.401280,0.000000,4.748650,14.336225,83.342590,1,0,1707.065229
1789841635,1,-116.177307,51.402001,0.000000,4.748650,14.498484,88.487919,1,0,1704.177709
1789841641,1,-116.177944,51.402670,0.000000,4.748650,14.287300,86.654667,1,0,1700.323077
1789841647,1,-116.178712,51.403248,0.000000,4.748650,13.534786,83.639311,1,0,1696.788914
1789841654,1,-116.179628,51.403859,0.000000,4.748650,12.882128,93.215592,1,0,1694.767693
1789841660,1,-116.180413,51.404291,0.000000,4.748650,11.144060,72.782154,1,0,1693.757752
1789841668,1,-116.181218,51.404708,0.000000,4.748651,6.857956,72.757233,1,0,1692.018001
1789841686,1,-116.181967,51.405011,0.000000,4.748651,6.741513,62.091920,1,0,1684.827042
1789841694,1,-116.182843,51.405467,0.000000,4.748651,11.260517,79.326902,1,0,1681.693454
1789841700,1,-116.183434,51.406017,0.000000,4.748650,12.590335,73.745473,1,0,1678.351971
1789841705,1,-116.184092,51.406654,0.000000,4.748650,14.467947,84.396222,1,0,1676.683567
1789841711,1,-116.185060,51.407221,0.000000,4.748650,15.094175,92.308723,1,0,1678.929364
1789841716,1,-116.185770,51.407761,0.000000,4.748651,15.610736,77.803775,1,0,1677.239044
1789841721,1,-116.186556,51.408315,0.000000,4.748651,15.601342,82.425147,1,0,1672.683754
1789841727,1,-116.187469,51.408999,0.000000,4.748650,16.039110,99.158290,1,0,1674.595672
1789841733,1,-116.188343,51.409645,0.000000,4.748650,15.526415,94.174446,1,0,1670.759157
1789841739,1,-116.189123,51.410307,0.000000,4.748650,14.971455,91.510607,1,0,1668.557068
1789841745,1,-116.189591,51.410976,0.000000,4.748651,12.594630,81.262664,1,0,1665.808227
1789841753,1,-116.189970,51.411647,0.000000,4.748651,9.557681,79.193991,1,0,1664.912219
1789841769,1,-116.190576,51.412643,0.000000,55.375682,-1.000000,118.592696,1,0,1665.703578
1789841954,1,-116.178940,51.423540,0.000000,85.912535,-1.000000,1458.118468,1,0,1553.456781
1789841981,1,-116.178371,51.425035,0.000000,56.776393,-1.000000,171.013560,1,0,1540.583343
1789841994,1,-116.177352,51.424874,0.000000,27.524245,-1.000000,73.123094,1,0,1541.759292
1789842013,1,-116.177655,51.425482,0.000000,56.825653,-1.000000,70.868128,1,0,1540.973770
1789842024,1,-116.177520,51.426045,0.000000,29.221899,8.230793,63.352591,1,0,1543.949123
1789842032,1,-116.178276,51.426491,0.000000,4.181232,9.202275,72.317220,1,0,1542.104863
1789842054,1,-116.180637,51.427060,0.000000,31.796548,-1.000000,176.042198,1,0,1541.428834
1789842067,1,-116.181786,51.428747,0.000000,49.857122,-1.000000,204.045559,1,0,1544.345564
1789843357,1,-116.182707,51.428781,0.000000,23.412023,-1.000000,64.187721,1,0,1544.470852
1789843670,1,-116.183117,51.428619,0.000000,4.714711,0.018962,33.744048,1,0,1543.168392
1789843865,1,-116.182873,51.428939,0.000000,7.476040,0.434409,39.449877,1,0,1547.374376
1789844789,1,-116.183895,51.428770,0.000000,70.698229,-1.000000,73.548121,1,0,1544.945566
1789844818,1,-116.180910,51.427940,0.000000,42.639762,11.372239,227.287349,1,0,1541.398236
1789844838,1,-116.178277,51.426345,0.000000,43.945564,-1.000000,255.071467,1,0,1541.712966
1789844864,1,-116.177796,51.425219,0.000000,33.115211,-1.000000,129.696556,1,0,1540.982075
1789844875,1,-116.178583,51.425686,0.000000,93.134970,-1.000000,75.490007,1,0,1541.131377
1789844934,1,-116.172449,51.427144,0.000000,22.771988,16.210398,456.560059,1,0,1561.422332
1789844940,1,-116.173829,51.427959,0.000000,2.785514,23.323606,132.074586,1,0,1550.420012
1789844945,1,-116.175165,51.428643,0.000000,2.617603,23.858923,120.139055,1,0,1549.737751
1789844949,1,-116.176315,51.429099,0.000000,4.748652,24.089727,94.743861,1,0,1550.515828
1789844953,1,-116.177541,51.429463,0.000000,4.748652,23.817802,94.417222,1,0,1549.601428
1789844957,1,-116.178822,51.429848,0.000000,4.748652,24.805290,98.876988,1,0,1548.589383
1789844971,1,-116.182093,51.430126,0.000000,46.788464,-1.000000,229.639714,1,0,1541.566369
1789844983,1,-116.185763,51.430940,0.000000,25.158674,-1.000000,270.896548,1,0,1541.499138
1789845372,1,-116.305670,51.452352,0.000000,25.925197,26.488808,8672.858924,1,0,1632.556802
1789845384,1,-116.309743,51.452041,0.000000,84.710412,-1.000000,285.306479,1,0,1639.552332
1789845748,1,-116.417631,51.427509,0.000000,172.910506,24.417017,7984.605512,1,0,1322.834869
1789846232,1,-116.488146,51.398062,0.000000,151.159651,-1.000000,5900.464260,1,0,1249.846587
1789846276,1,-116.497299,51.392290,0.000000,163.343777,18.348869,904.726178,1,0,1255.601304
1789846343,1,-116.504996,51.383869,0.000000,34.795109,16.582319,1079.482039,1,0,1244.532211
1789846370,1,-116.509529,51.381812,0.000000,19.869326,15.426461,389.902474,1,0,1252.928446
1789846376,1,-116.510742,51.381362,0.000000,3.759947,15.319980,98.191657,1,0,1249.431875
1789846383,1,-116.511795,51.380694,0.000000,4.748652,15.447186,104.410909,1,0,1252.485321
1789846388,1,-116.512504,51.380157,0.000000,4.748652,15.432647,77.511866,1,0,1251.969404
1789846394,1,-116.513803,51.380002,0.000000,4.748652,15.561234,92.081822,1,0,1250.104259
1789846400,1,-116.515134,51.379904,0.000000,4.748652,15.780650,93.319595,1,0,1248.545123
1789846406,1,-116.516506,51.379923,0.000000,4.748652,15.849433,95.558526,1,0,1249.697914
1789846411,1,-116.517655,51.380000,0.000000,4.748651,16.437508,80.464723,1,0,1252.533467
1789846415,1,-116.518823,51.380176,0.000000,4.748651,16.864302,83.655093,1,0,1252.696354
1789846420,1,-116.519986,51.380429,0.000000,4.748651,17.226043,85.736208,1,0,1249.626586
1789846426,1,-116.521394,51.380679,0.000000,4.748651,17.010954,101.912307,1,0,1242.819591
1789846431,1,-116.522588,51.380665,0.000000,4.748651,16.635272,83.155106,1,0,1236.623248
1789846436,1,-116.523710,51.380890,0.000000,4.748652,16.560615,82.040771,1,0,1231.126344
1789846441,1,-116.524680,51.381318,0.000000,4.748651,16.440009,82.645789,1,0,1226.256173
1789846447,1,-116.525971,51.381653,0.000000,4.748651,16.176253,97.317365,1,0,1221.710235
1789846453,1,-116.526696,51.382189,0.000000,4.748651,15.824237,78.140842,1,0,1221.766533
1789846458,1,-116.527260,51.382828,0.000000,4.748652,16.172516,81.230345,1,0,1221.280235
1789846463,1,-116.528260,51.383175,0.000000,4.748651,16.327296,79.621262,1,0,1219.899819
1789846468,1,-116.529395,51.383006,0.000000,4.748651,16.247901,81.238603,1,0,1218.353168
1789846473,1,-116.530716,51.382802,0.000000,4.748652,15.558576,94.743191,1,0,1221.208468
1789846480,1,-116.532125,51.383248,0.000000,4.748652,16.349762,109.949464,1,0,1227.147720
1789846485,1,-116.533071,51.383678,0.000000,4.748651,16.400662,81.416327,1,0,1230.994806
1789846490,1,-116.534025,51.384129,0.000000,4.748651,16.762844,83.255115,1,0,1233.690828
1789846496,1,-116.535125,51.384686,0.000000,4.748651,16.148310,98.531696,1,0,1237.721509
1789846502,1,-116.536006,51.385165,0.000000,4.748652,16.387913,81.267340,1,0,1243.395729
1789846507,1,-116.536867,51.385659,0.000000,4.748651,16.353695,81.339976,1,0,1249.476509
1789846512,1,-116.537540,51.386269,0.000000,4.748651,16.750355,82.484380,1,0,1253.840428
1789846518,1,-116.537894,51.387133,0.000000,4.748651,16.540043,99.253394,1,0,1257.963392
1789846524,1,-116.537700,51.388013,0.000000,4.748652,16.525978,98.851519,1,0,1260.392923
1789846529,1,-116.537206,51.388697,0.000000,4.748651,16.685562,83.524443,1,0,1263.663797
1789846535,1,-116.536605,51.389491,0.000000,4.748651,16.310127,97.762488,1,0,1269.631580
1789846541,1,-116.536045,51.390307,0.000000,4.748652,16.665115,98.819858,1,0,1274.118254
1789846546,1,-116.535725,51.391026,0.000000,4.748653,16.665711,83.053085,1,0,1276.211145
1789846551,1,-116.535563,51.391755,0.000000,4.748653,16.309277,81.902038,1,0,1278.384187
1789846557,1,-116.535577,51.392632,0.000000,4.748652,16.256006,97.595774,1,0,1281.557621
1789846562,1,-116.535605,51.393368,0.000000,4.748652,16.308295,81.923927,1,0,1284.549821
1789846567,1,-116.535648,51.394108,0.000000,4.748652,16.424501,261.904389,1,0,1286.026647
